tweets,labels
i laff saa that guy is cursing saa 😂😂😂,Neutral
wogi l no saa aden me bro,Neutral
saa al batin team wey ibi relegation nor dem go go laarh 😭😭😭😭,Neutral
mudryk think say here be warzone he fo de run run saa 🤣🤣,Negative
saa😂😂 so ego be gbushiagbushia,Neutral
gyemii saawey tin be this,Negative
so  can drop two tracks in a day like what he was doing with amerado beef thing nor n yaa starve y saa no,No Sentiment
hype saa na he flop,Negative
if uno change ago worry u saa,Positive & Negative
that be my biggest headache chale he go do saa then limit enzo,Negative
kwaw nor wan talk but pono do saa kwaw release the truth kwaw god richly bless u   ur mother underground artist like u,Negative
masa stop this jon thing we drop saa no momo,Negative
aww boss  abeg look ma way a tweet saa,Neutral
oh saa wo y taadi boy  no wonder yall should stop shitting around the sea sekof cat kraa wont do it,Negative
we dey hype saa den it cast,Negative
you dey like the guy too much you talk saa he left so what be your problem now🤣,Negative
my aunt asked me recently where i dey work i tell am say silverbird cinemas and she just sighed and said nana kwame a na onim ade saa no cinemashit get to me but i wave am off listening to the song just trigger so muchsighs in french,Neutral
bossu why we finish the giveaway anaa i tweet saa ny hands all dey hurt,Negative
me kraa mpo saa as i see am the first time if you know what i mean,Neutral
it dey bost my brain saa,Positive
i tweet saa i tire,Negative
this song a fit repeat saa 😂😂if adey soak the album,No Sentiment
world cup world cup saa u go sign enzo for 😁,Neutral
bossu them do saa all my money leff ghps aah i conf seff,Negative
fine girls like this wey go chop money saa aswear🤔 sohofriday,Negative
saa boy no he go mmom🙄i am well sohofriday,Neutral
saa come win my soul for christ 😊,Positive
david ornstein he brings the final piece fabrizio go speculate saa wobehu na chelsea go buy am,Neutral
myself koraa i won’t take a bullet for na saa akoa tiatia nno,Negative
i drop am saa bossu,Neutral
blood sample you go draw you stab stab me saa madam why i steal your something,Negative
chale i laugh saa 😂😂😂 sark er,Neutral
i drop saa 🙏   spnopifo,Neutral
na s woo wagyimi saawano ho nwin s kway wati siiatono wonder  said u bi funny,Negative
so me ano dey inside or wat😭😭 nagodfc  i have reply saa buh still not received mine aww😭😭  spgvo,Negative
i do saa nothing for me nana agyemang  bless me today 😥😥😥🙏🙏🙏god bless  stcomkehlxgz,Positive
we like am saa wai please tell your people that defeats are also part of the game ok,Positive
saa so lef me ong 😂,Neutral
ohhhh saa buh kumerica no be part of ghana ooo sendcashfromabroad,Neutral
i drop my number saa ano get the momo some ebi ghost wey dey do me so or wat,Negative
this matter ego go back and forth saa,No Sentiment
i iaugh saa,Neutral
bet deir you for use  your mind to it ooo else dem go chop you saa,Positive & Negative
ne jon wode wonnim nyansa so it’s hard to talk with you😂😂😂 you dey contradict yourself saa ei😂,Negative
i drop saa but it never reach me   make i receive the blessing some,Positive & Negative
we go come back with last position saa,Negative
u force saa get handshake 🤝 wkhkyd,Negative
this guy i score am saa,Negative
chale i watch the thing liketimesi laugh saa😂😂😂puom music😂🔥,Negative
saa rasta wei ankasa we for lash am na be too funny 😂,Negative
you go do saa then the thing go tear ein eye top …first time proper come your life inside see what you dey do,Positive & Negative
you barb ebi recently wey wanna rector agree make dem participate in the nsmqyou go study den pray saa,Positive
i laugh saaeeeiii something s cooking small small,Neutral
song dey parp gyae saa,Positive & Negative
you people go hype greenwood saa then next month we go see am for nsawam prisons,Negative
aden na wop gyimii saa😂😂😂 you do saa make  bore 😂😂,Negative
abeiku wey them skip am like back benchers and am lectures saa no,Negative
brooo hmm a watch am saa she change ooo herh this is sad,Negative
we need a marriage minister na the girls dey cheat we you go dey plus them saa na old man bi come take we want them to be married by force to us,Negative
see heri know this paadont beg for water it will raindont beg for food dont beg for money saa then you die before your time pride is killing mist youth learn to beg when neededwe all need somebody to success,Positive & Negative
as dem chop your mother saa what she get from am,Negative
hw ne lips be ose obi y drugs… nkwasia akeka saa kk gyimie,Negative
blakk rasta ankasa no bro shda know am saa oo aboa banku be popular pass am mmom,Negative
make dem know idol sie line saa😂😂😂,Neutral
chale i think about that thing saa like just make a straight road from there like how hard would that be erh now you have to go all the way saaa before you come ho 😪,Negative
saa ppp you no no get choice nana🤣,Negative
chill bro sark nodey carry bozos dema matter put ihn heart saa you barb,Positive
i dey front seat saa nso nothingebi obinim backside dey motivate me me nsua hwee heeehee,Negative
we drop drop saa u don’t follow back i ll unfollow u mpo,Negative
chale the song den dey play for the video inside nu … dem dey play for funeral under waa… i search am saa i taya abeg where ago get the full mix,No Sentiment
that trick your godfada use for me saa e no work try again,Negative
we go watch kwabena yeboah saa nana monday night highlights,Neutral
united will eat them saa😂😂😂,Negative
you go do saa then i lash you,Negative
i tweet saa uno dey mind me sef,Negative
you guys bought lukaku dede saa na he turn banku😂,Negative
so chelsea do eye red saa buy enzo,Neutral
chairman  toast me plus momo giveaway saa,Neutral
fool saa make chelsea sign this player 😂,Negative
nanka dem saa for lash am as he dey ground,Negative
dem plant some greens saa add tree senior contractor go vex oooo,Negative
this vibe be making me laugh saa 😂😂😂  swgrd,Neutral
you go do saa then his record label go find u in public and do the needful hmm,Neutral
the way chelsea fans dey refresh fabrizio ein page nbs dem go do saa till the phone ankasa restart,Neutral
i listen space saa my ears sef dey pain me,Negative
herrrrr😂😂🔥🔥this one de din oooo🔥🔥🔥welcome mo🔥❤️,Neutral
wo din kraa kyer s wegyimi e be him for fight corruption give u  hating is hardwork keep it up  allow the young man to entertain some of us here n fa wo gyimi ko  mr politician,Negative
boss you say you nor kai i say i hear din what again,Neutral
chairman dey do weightlifting at aj anaa,Negative
ahh you be dog anaa,Negative
ah ibi say legacy definition way boys no dey understand anaa… let’s start the discussions again why compare samini and sark in terms of legacy in the music industry make boys listen to what the presenter dey talk and stop deviating from the issue 🚶🏻‍♂️,Negative
so you go back anaa 😂😂,Neutral
maybe some btc land for your wallet arh you go get soft life oo anaa🔥,Positive
i want see say i reach anaa😂💔swine,Negative
sarfo want stop the medicine anaa😹,Neutral
na akpeteshi be dewormer anaalike you talk blood tonic eno bad kwraaa ooo so we both didnt our homework wellthank you,Negative
weeks di why 😂ein blood no dey finish anaa,Negative
u still dey use infinix anaa snr ambassador 🤩❤️😎😂,Negative
every day he dey score enso ni epl goals yi no dey barbhe started on negative anaa,Negative
🤣🤣🤣🤣 ne gyimii se i will date you hw you must be his wife 🤣🤣🤣🤣  na please ooh your father no buy house anaa  am just saying,Negative
enokay what ghanamantips talk ebi true ooooo no body can give us  odds back to back for  days anaa we go try again,Neutral
anaa make i goo beg my ex,Neutral
thinking ebi easy to do am😆😆make we leave am make he come do ma erh anaa😆😆,Negative
the abrab for accra dey run me streets wey i no dey see top eii 😒boi make i go back to my village anaa because eii😒,Negative
ah why you figure city we dey down like that anaa who you dey support make we check history,Neutral
oh e b lie anaa bro,Neutral
this guy dey mad anaa 😂ei,Negative
max no e be maximum anaa sɛ me din maxwell na wo de ama wo kra no,Negative
u fool anaaand can u compare any of the artist mentioned above to sarkodie anaa ofui,Negative
today be sponge day anaa,No Sentiment
alhilal to beat real madrid anaa e never go happen 😁like ❤️ if dem go fit,Neutral
you dey compare portugal to argentina anaa,Neutral
anaa adey lie,Neutral
edey pain you anaa 😂😂,Negative
ohabi ebe soo norr anaa,No Sentiment
make i state my own anaa 🤣🤣🤣,Neutral
some girl say make atemuda buy um  bedroom house for golf city homes before she go date um…excuse me to say but yaa na moagyimi gyimi anaa s den,Negative
yesu the smoke anaa cos circle jonky man paa,Negative
but the brazilian striker dey anaa,Neutral
u wanna watch plus me anaa🤣😂,No Sentiment
games dey top already anaa,Neutral
make we tell them anaa,Neutral
please if you dey around too you can join anaa,No Sentiment
oh them chopping anaa abeg add me make i see some me ano go block bia,Positive & Negative
this time de abeg i no go take pic but a signed jerseyabeg ur mind dey anaa cos i dey come dawu,Neutral
remix dey come anaa,Neutral
so make nana addo take u go there anaa,Neutral
y dem swap flagstaff for sika anaa,Negative
than nunez anaa🤷‍♂️🤔,Neutral
as you get mac book i fit come take the rog anaa,Neutral
bossu i dey me den my womananaa wosop,Neutral
he build stadium for u oo anaa 🤣🤣🤣,Negative
you no get nothing do anaa he said this soo what how many years this why who you be way your respect for him reduce lol he no mo you sef 🤣🤣🤣,Negative
enti agya yesu u no locate my sentence anaa anyway my number,Neutral
you left people who wants john mahama back anaa they are not part 🤣🤣🤣,Negative
man why dem curse me anaa,Negative
snr u no see me anaa   shxowc,Neutral
ibi self explanatory o anaa 😂😂,Neutral
so still people dey chop bet anaa cos you stake say nana addo go wear suit saf aa dat day he go don kaftan😂😂 eiiiii,Negative
sia you no  be fan anaa 😝,Negative
so as u dey declare am no mk we stop d search anaa,No Sentiment
the person why watsap… he take something anaa 😂😂,Negative
🤣🤣🤣🤣🤣 make we tell am anaa,Neutral
why your comment finish anaa  or you no get comment🫠,Negative
e pain u anaa,Negative
you won open rural bank anaa 😂😂aden aah k cant star momo business  niggas start with k saf and make profit,Negative
secof aget clean heart wey you squad dey do me dirty anaa what 😔,Negative
niggas called in the show were venting seriously about ghanaian nurses lmao somebody say make i ask dem say dem dey tear cheating as course anaa 😂😂,Negative
momo anaa you make dem chop me saaa,Negative
abeg u go love show hasbulla something give we anaa,Neutral
eei fine girls dey oo anaa ebe me p ano dey see,Positive
ebi ikoko anaa,Negative
as if the one we go vote give go give us job nyansa biara nni mu,Negative
s wo nni biaa dem dey wish you wellafei wo bnya biaa dem dey wish you hellfameye,Positive & Negative
rashford get ball norr he want shoot … wagyimi anaa,Negative
you listen commentary for radio anaa😂😂,Negative
this be yourred letter to blac rasta anaa🤣🤪😀 or nah kelvin taylor🤣,Negative
make we delete one anaa,Neutral
kwasia you dey lose saa dey fool,Negative
